Name,Brand,Latitude,Longitude
Shell,Shell,43.5779396,-79.6844469
Petro-Canada,Petro-Canada,43.5786159,-79.7586224
Canadian Tire,Canadian Tire,43.5828302,-79.7628996
Esso,Esso,43.5973521,-79.7830377
Shell,Shell,43.5876224,-79.607473
Esso,Esso,43.6066731,-79.6537186
Pioneer,Pioneer,43.5751517,-79.6452212
Petro-Canada,Petro-Canada,43.5638094,-79.6361677
Canadian Tire,Canadian Tire,43.5659489,-79.6336014
Shell,Shell,43.6244885,-79.7118222
Esso,Esso,43.647181,-79.6831078
Esso,Esso,43.3314265,-79.8224139
Canadian Tire,Canadian Tire,43.6113017,-79.6954933
Husky,Husky,43.6175023,-79.6901691
Esso,Esso,43.6254357,-79.6794669
Petro-Canada,Petro-Canada,43.6270374,-79.6796005
Petro-Canada,Petro-Canada,43.613795,-79.6634293
Husky,Husky,43.5972119,-79.6642252
Petro-Canada,Petro-Canada,43.6161892,-79.6430554
Shell,Shell,43.6164835,-79.6413328
Petro-Canada,Petro-Canada,43.507023,-79.6621857
Petro-Canada,Petro-Canada,43.338228,-79.786191
Petro-Canada,Petro-Canada,43.6663337,-79.8295365
Petro-Canada,Petro-Canada,43.9067686,-78.8129264
Husky,Husky,43.9062769,-78.812846
Shell,Shell,43.8426042,-79.3924065
Petro-Canada,Petro-Canada,43.715243,-79.4467578
Husky,Husky,43.715399,-79.4460346
Shell,Shell,43.7143057,-79.4554892
Petro-Canada,Petro-Canada,43.7551831,-79.4389332
Esso,Esso,43.7229219,-79.4563071
Husky,Husky,43.7325097,-79.4594282
Shell,Shell,43.7325207,-79.4583315
Petro-Canada,Petro-Canada,43.7320074,-79.4583659
Esso,Esso,43.7366682,-79.3071473
Ultramar,Ultramar,43.6868599,-79.355728
Petro-Canada,Petro-Canada,43.4245613,-80.2850942
Esso,Esso,43.7989645,-79.1472276
Shell,Shell,43.7969672,-79.1485824
Pioneer,Pioneer,43.8019077,-79.1410686
Unknown,Unknown,43.7981831,-79.1392798
Esso,Esso,43.680926,-79.5094986
Esso,Esso,43.7346188,-79.6173128
Petro-Canada,Petro-Canada,43.7598096,-79.5907774
Esso,Esso,43.7576587,-79.5185157
Shell,Shell,43.8180478,-79.304054
Esso,Esso,43.8017655,-79.296169
Petro-Canada,Petro-Canada,43.8007711,-79.2966996
Shell,Shell,43.7099497,-79.5350056
Petro-Canada,Petro-Canada,43.7436678,-79.6066513
Shell,Shell,43.7437888,-79.6080503
Petro-Canada Wholesale,Petro-Canada,43.7433288,-79.6047174
Husky,Husky,43.6906394,-79.5305671
Top Valu,Unknown,43.7354375,-79.5608373
Shell,Shell,43.7400714,-79.5810566
Esso,Esso,45.4117156,-75.6936454
Esso,Esso,43.6483719,-79.4851276
Shell,Shell,43.714052,-79.2705063
Esso,Esso,44.0459126,-79.4777122
Petro-Canada,Petro-Canada,44.0042928,-79.4691451
Petro-Canada,Petro-Canada,43.7035303,-79.7412638
Shell,Shell,43.7164098,-79.6279983
Esso,Esso,43.7156939,-79.6274651
Petro-Canada,Petro-Canada,43.6952201,-79.7003103
Husky,Husky,43.6944851,-79.7010306
Canaco,XTR,43.6737637,-79.7253094
Petro-Canada,Petro-Canada,43.6689088,-79.7380934
Esso,Esso,43.6093932,-79.5828606
Canadian Tire,Canadian Tire,43.6048613,-79.5880533
Esso,Esso,43.59717,-79.5967059
Esso,Esso,43.5890952,-79.6280332
Shell,Shell,43.5214445,-80.212029
Petro-Canada,Petro-Canada,43.636321,-79.4753929
Shell,Shell,43.8285578,-79.0868311
Esso,Esso,43.8338784,-79.0891445
Petro-Canada,Petro-Canada,43.8348602,-79.090588
Global,Unknown,43.8238016,-79.1071272
Esso,Esso,43.7643825,-79.2053096
Shell,Shell,43.7601259,-79.2259714
Shell,Shell,43.7551246,-79.2459789
Esso,Esso,43.7512861,-79.2645946
Petro-Canada,Petro-Canada,44.0452558,-79.4775312
Shell,Shell,44.0331314,-79.4758732
Petro-Canada,Petro-Canada,44.0085466,-79.4700926
Pioneer,Pioneer,43.9468218,-79.4556409
Shell,Shell,43.8992598,-79.4430529
Petro-Canada,Petro-Canada,43.8605036,-79.4353815
Canadian Tire,Canadian Tire,43.8426225,-79.4309168
Shell,Shell,43.8386389,-79.4302614
Esso,Esso,43.8734568,-79.2603383
Esso,Esso,43.717278,-79.259101
Esso,Esso,43.7757047,-79.2320422
Shell,Shell,43.7770499,-79.2314972
Petro-Canada,Petro-Canada,43.7818725,-79.234798
Esso,Esso,43.8128276,-79.2422112
Value,Unknown,43.8229722,-79.2479747
Petro-Canada,Petro-Canada,43.844755,-79.2536864
Petro-Canada,Petro-Canada,43.8519059,-79.2538118
Husky,Husky,43.8744182,-79.2594167
Shell,Shell,43.8714426,-79.2684435
Petro-Canada,Petro-Canada,43.8631977,-79.3031924
Shell,Shell,43.8567807,-79.305362
Shell,Shell,43.8504336,-79.3587987
Esso,Esso,43.8457265,-79.378694
Petro-Canada,Petro-Canada,43.839046,-79.4196537
Esso,Esso,43.809341,-79.4592266
Petro-Canada,Petro-Canada,43.8053081,-79.4738044
Pioneer,Pioneer,43.8062348,-79.4833839
Husky,Husky,43.782105,-79.4940324
Petro-Canada,Petro-Canada,43.7890021,-79.5466366
Esso,Esso,43.7896142,-79.5481672
Shell,Shell,43.7857071,-79.5640233
Esso,Esso,43.7836735,-79.5735767
Husky,Husky,43.7788592,-79.5977066
Petro-Canada,Petro-Canada,43.7783546,-79.5967016
Petro-Canada,Petro-Canada,43.7144189,-79.5818771
Esso,Esso,43.70173,-79.5750479
Petro-Canada,Petro-Canada,43.6904945,-79.5740249
Shell,Shell,43.6751822,-79.5579263
Petro-Canada,Petro-Canada,43.8670682,-79.3694979
Pioneer,Pioneer,43.3943832,-79.7120509
Petro-Canada,Petro-Canada,43.6371516,-79.4715519
Esso,Esso,43.5978167,-79.7614548
Esso,Esso,43.7345364,-79.2474693
Shell,Shell,43.6462554,-79.705144
Husky,Husky,43.645309,-79.7060434
Esso,Esso,43.7661302,-79.3884837
Shell,Shell,43.766433,-79.3874714
Esso,Esso,43.5164051,-79.6555637
Esso,Esso,43.7789546,-79.3086294
Petro-Canada,Petro-Canada,43.7792521,-79.3076282
Shell,Shell,43.7785945,-79.3070377
Esso,Esso,43.7227273,-79.3389559
Petro-Canada,Petro-Canada,43.7746445,-79.2423324
Shell,Shell,43.7095463,-79.333705
Petro-Canada,Petro-Canada,43.7369236,-79.3429478
Esso,Esso,43.7404842,-79.3238604
Petro-Canada,Petro-Canada,43.7408681,-79.3197815
Shell,Shell,43.7426434,-79.3094776
Circle K,Circle K,43.7584404,-79.730125
National Variety,Unknown,43.6877157,-79.3480138
Petro-Canada,Petro-Canada,43.6565535,-79.695289
Petro-Canada,Petro-Canada,43.7329915,-79.8247327
Petro-Canada,Petro-Canada,43.8313643,-79.2760163
Petro-Canada,Petro-Canada,43.8085038,-79.5512533
Shell,Shell,43.6548315,-79.3636852
Esso,Esso,43.6702242,-79.4662914
Petro-Canada,Petro-Canada,43.2516246,-79.8385724
Petro-Canada,Petro-Canada,43.2405073,-79.8113441
Esso,Esso,43.6545324,-79.3376443
Petro-Canada,Petro-Canada,43.6391774,-79.5837298
Shell,Shell,43.7301517,-79.467647
Esso,Esso,43.7185832,-79.2833994
Petro-Canada,Petro-Canada,43.7263939,-79.4815031
Petroleum Plus,Unknown,43.7214124,-79.5066579
Shell,Shell,43.7502883,-79.549348
Esso,Esso,43.7523224,-79.5430157
Petro-Canada,Petro-Canada,43.7567991,-79.5180495
Esso,Esso,43.7682406,-79.4672558
Shell,Shell,43.773427,-79.4432461
Petro-Canada,Petro-Canada,43.8404513,-79.0360559
Esso,Esso,43.840767,-79.0347239
Petro-Canada,Petro-Canada,43.5588023,-79.5860918
Pioneer,Pioneer,43.6173004,-79.5948098
Petro-Canada,Petro-Canada,43.6078451,-79.5849099
Petro-Canada,Petro-Canada,43.5356329,-79.6670362
Petro-Canada,Petro-Canada,43.5313794,-79.6927773
