long,lat,Name
-80.94687042,43.36931694,Stratford Mall
-80.99281641,46.49407819,Rainbow Centre
-86.37350461,48.72049974,Marathon Centre Mall
-79.20776154,45.33467779,Huntsville Place Mall
-79.80377158,44.0197047,Tottenham Mall
-84.33919321,46.51279642,Station Mall
-80.30817027,42.8344382,Simcoe Town Centre
-81.62282573,42.9604729,The Shops on Sydenham
-79.37997008,43.84663412,Shoppes of the Parkway
-75.30180584,45.269095,Place D'Embrun
-77.08460994,45.82067121,Pembroke Mall
-82.35138008,42.98254494,Lambton Mall
-82.40588555,42.97285333,Bayside Mall
-81.15911798,42.77577035,Elgin Centre
-84.31700762,46.52398397,Cambrian Mall
-78.86794181,43.89425316,Midtown Mall
-79.39082944,43.65373511,Village by the Grange
-82.58575794,42.05825515,Leamington Mall
-82.18394536,42.40503675,One Hundred KING
-80.28009472,43.54153045,Willow West
-80.73227889,43.14180529,
-79.32689211,43.8218093,
-79.419403,43.80324608,Shops on Yonge
-79.82042136,43.32590275,Mapleview Centre
-77.1411661,44.00693884,The Armoury
-82.41795757,49.41928925,Model City Mall
-81.19887038,48.49058747,Porcupine Mall
-80.98865667,46.65142951,Hanmer Valley Shopping Centre
-79.8769185,43.2369343,Mountain Plaza
-75.69776644,45.42144755,World Exchange Plaza
-76.16413734,44.32790942,Bell Tower Mall
-84.36402921,46.5363816,
-80.94589466,46.51993471,New Sudbury Centre
-79.0621088,43.11302375,Maple Leaf Place
-79.66337249,43.60503029,Ceremonial Plaza
-81.00275767,46.44936891,Southridge Mall
-81.3278882,48.4767322,101 Mall
-79.3834489,43.66056197,College Park
-80.3864715,43.696451,
-79.65109096,44.1987898,Tanger Outlets Cookstown
-78.19965994,43.96957787,Northumberland Mall
-79.43528963,44.63186068,Orillia Square Mall
-79.38045935,43.65703618,The Tenor
-79.91030852,43.2338932,Westcliffe Mall
-89.27979759,48.39305721,Northwood Mall
-89.25406618,48.4531092,County Fair Mall
-89.22070093,48.43483619,Keskus Court
-79.93272192,44.76601493,Penetanguishene Mall
-79.68049764,47.50941365,
-79.63745755,43.71960325,Westwood Square
-75.59821495,45.45188033,Beacon Hill Shopping Centre
-92.83979404,49.78356374,The Midtown Square
-75.60961132,45.43215581,
-81.75750061,46.24864766,Espanola Mall
-74.60794985,45.60948665,Hawkesbury Centre
-74.61159555,45.59778887,Hawkesbury Mall
-92.82121176,49.7869681,Golden Mile Plaza
-75.8370373,44.91491927,Larkspur Lane
-76.66573195,44.41040055,
-76.57115676,44.25636773,Cataraqui Centre
-76.54500849,44.23924667,Frontenac Mall
-79.26962803,43.80940822,Woodside Square
-79.51221973,43.74028289,Jane Sheppard Mall
-79.2284583,43.75765151,Cedarbrae Mall
-79.30623003,43.82619187,Pacific Mall
-79.25843819,43.77613335,Scarborough Town Centre
-79.31833373,43.798447,Bridlewood Mall
-79.30701073,43.7996147,
-79.29292911,43.78392327,Agincourt Mall
-79.31208208,43.75703764,Parkway Mall
-79.34429258,43.77776134,CF Fairview Mall
-79.2995729,43.72625335,Golden Mile Mall
